"year","state_fips","stalt_unemployed_15_plus_weeks","stalt_job_losers","stalt_discouraged_workers","stalt_all_marginally_attached","stalt_involuntary_part_time_employed","stalt_civilian_labor_force","stalt_employed","stalt_unemployed","stalt_u1","stalt_u2","stalt_u3","stalt_u4","stalt_u5","stalt_u6"
2015,"55",54100,68600,7400,25600,89900,3090800,2949000,141800,1.7,2.2,4.6,4.8,5.4,8.3
2015,"56",3200,7000,600,2400,10400,306400,293900,12500,1,2.3,4.1,4.3,4.8,8.2
2016,"01",55100,53900,7900,25600,70800,2171900,2040700,131200,2.5,2.5,6,6.4,7.1,10.4
2016,"02",8900,13600,2000,6900,15900,357400,333600,23700,2.5,3.8,6.6,7.2,8.4,12.8
2016,"04",57200,68000,12300,45600,141000,3235700,3068400,167200,1.8,2.1,5.2,5.5,6.5,10.8
2016,"05",21800,21900,3900,11600,37900,1351300,1298600,52700,1.6,1.6,3.9,4.2,4.7,7.5
2016,"06",428000,517100,61400,232200,920100,19193000,18159400,1033600,2.2,2.7,5.4,5.7,6.5,11.3
2016,"08",42400,45600,4000,15200,102000,2904200,2808900,95300,1.5,1.6,3.3,3.4,3.8,7.3
2016,"09",43800,56100,5500,28000,82100,1905500,1806000,99500,2.3,2.9,5.2,5.5,6.6,10.8
2016,"10",9000,9700,1500,3800,15400,474500,453900,20600,1.9,2,4.3,4.6,5.1,8.3
2016,"11",14500,10200,1600,6000,8400,395000,371000,23900,3.7,2.6,6.1,6.4,7.5,9.5
2016,"12",224400,211200,52500,118800,425500,9759400,9283000,476400,2.3,2.2,4.9,5.4,6,10.3
2016,"13",118100,122100,23700,82800,177900,4936100,4671100,265000,2.4,2.5,5.4,5.8,6.9,10.5
2016,"15",7800,9500,2400,8100,23600,690500,669500,21000,1.1,1.4,3,3.4,4.2,7.5
2016,"16",7500,16500,1100,5400,26600,808800,777200,31600,0.9,2,3.9,4,4.6,7.8
2016,"17",191000,192000,24400,71100,271300,6578400,6192400,386000,2.9,2.9,5.9,6.2,6.9,11
2016,"18",44500,75900,7700,29200,101100,3348300,3198600,149700,1.3,2.3,4.5,4.7,5.3,8.3
2016,"19",16300,36800,3000,11700,45900,1713800,1646700,67100,0.9,2.1,3.9,4.1,4.6,7.2
2016,"20",21200,32500,2800,13400,47600,1490100,1427600,62500,1.4,2.2,4.2,4.4,5,8.2
2016,"21",40300,47100,11600,23500,73800,2003900,1904900,98900,2,2.3,4.9,5.5,6,9.7
2016,"22",54900,63100,13000,29600,70300,2132300,2000000,132300,2.6,3,6.2,6.8,7.5,10.7
2016,"23",11100,13300,1900,6800,27400,693100,666200,27000,1.6,1.9,3.9,4.2,4.8,8.7
2016,"24",56500,65500,10400,30600,94600,3186500,3051500,135000,1.8,2.1,4.2,4.5,5.1,8.1
2016,"25",61900,72000,17700,49400,113900,3598900,3465800,133100,1.7,2,3.7,4.2,5,8.1
2016,"26",84300,123000,18300,57900,209500,4853400,4615800,237600,1.7,2.5,4.9,5.3,6,10.3
2016,"27",32300,55300,6400,27200,89900,2985300,2869600,115700,1.1,1.9,3.9,4.1,4.7,7.7
2016,"28",33400,33700,5800,16400,52000,1281300,1207700,73600,2.6,2.6,5.7,6.2,6.9,10.9
2016,"29",56700,73600,8600,26100,82600,3141900,3002200,139700,1.8,2.3,4.4,4.7,5.2,7.8
2016,"30",7600,11500,1400,4700,18100,521900,499800,22100,1.4,2.2,4.2,4.5,5.1,8.5
2016,"31",12000,14900,900,6700,22300,1014000,980000,34000,1.2,1.5,3.4,3.4,4,6.2
2016,"32",34500,43100,6600,17700,73300,1416700,1333100,83700,2.4,3,5.9,6.3,7.1,12.2
2016,"33",7300,11500,1500,5900,21700,750700,729700,21000,1,1.5,2.8,3,3.6,6.4
2016,"34",107700,130400,20800,52300,169000,4553200,4328400,224800,2.4,2.9,4.9,5.4,6,9.7
2016,"35",23400,29800,4800,13000,43300,933100,869900,63200,2.5,3.2,6.8,7.3,8.1,12.6
2016,"36",219700,233700,32600,124400,326000,9624800,9161400,463400,2.3,2.4,4.8,5.1,6,9.4
2016,"37",110500,106300,19700,63700,157400,4873100,4628200,244900,2.3,2.2,5,5.4,6.3,9.4
2016,"38",3800,7800,1100,2700,9700,428500,414300,14200,0.9,1.8,3.3,3.6,3.9,6.2
2016,"39",115800,125700,15300,63100,213500,5736800,5453000,283900,2,2.2,4.9,5.2,6,9.7
2016,"40",34900,44200,5500,20000,56700,1836300,1743000,93300,1.9,2.4,5.1,5.4,6.1,9.2
2016,"41",31100,47300,6300,22900,91200,2061000,1959700,101200,1.5,2.3,4.9,5.2,6,10.3
2016,"42",134500,188100,21800,80000,255800,6506600,6144300,362300,2.1,2.9,5.6,5.9,6.7,10.6
2016,"44",12800,17200,1300,5800,20900,551000,521500,29500,2.3,3.1,5.4,5.6,6.3,10.1
2016,"45",46200,47600,8500,28600,86500,2315700,2202900,112800,2,2.1,4.9,5.2,6,9.7
2016,"46",3800,4500,1000,3200,7700,452200,439600,12700,0.8,1,2.8,3,3.5,5.2
2016,"47",55900,70600,12500,39100,113300,3146700,2999500,147300,1.8,2.2,4.7,5.1,5.8,9.4
2016,"48",230200,277500,38100,120400,434000,13343500,12734800,608600,1.7,2.1,4.6,4.8,5.4,8.6
2016,"49",17100,25900,1600,11900,48300,1508900,1454800,54100,1.1,1.7,3.6,3.7,4.3,7.5
